id,gender,age,major,gpa,SoloFounder,UniversityInCity,HasMentor,Perseverance,DesireToTakeInitiative,Competitiveness,SelfReliance,StrongNeedToAchieve,SelfConfidence,GoodPhysicalHealth,StartedBusiness
73,Female,17,Business,3.51,No,Yes,No,4,4,5,4,4,4,1,Yes
74,Male,23,Business,2.42,No,No,No,5,2,3,5,1,2,3,No
75,Polygender,18,Business,2.65,No,Yes,Yes,4,5,5,4,3,2,3,No
76,Male,17,Social Sciences,2.39,Yes,Yes,No,1,5,1,2,4,5,4,No
77,Female,18,Business,2.66,No,Yes,Yes,4,5,2,5,2,5,1,No
78,Agender,23,Communications,2.68,No,No,Yes,4,2,3,1,1,2,4,No
79,Male,20,Life Sciences,3.3,Yes,No,Yes,2,2,1,5,1,2,5,Yes
80,Male,22,Information Systems,2.63,No,No,No,4,2,5,2,4,1,4,No
81,Male,17,Arts,3.45,Yes,Yes,Yes,4,5,4,1,1,1,4,Yes
82,Male,19,Arts,2.52,Yes,Yes,Yes,4,5,5,5,4,5,3,No
83,Female,22,Arts,1.89,Yes,Yes,Yes,2,2,3,2,2,5,4,Yes
84,Male,23,Social Sciences,2.99,No,Yes,Yes,4,5,5,5,1,3,5,Yes
85,Male,19,Arts,3.82,No,Yes,Yes,5,2,2,4,2,4,4,No
86,Polygender,17,Social Sciences,2.04,No,Yes,Yes,4,4,2,4,4,2,1,No
87,Female,22,Arts,3.05,Yes,Yes,Yes,4,1,2,1,3,3,3,No
88,Female,23,Arts,1.92,No,No,Yes,5,2,5,5,2,2,2,No
89,Female,23,Business,3.61,Yes,Yes,Yes,1,5,1,3,4,4,5,Yes
90,Male,23,Communications,2.33,No,No,No,3,1,3,2,2,1,1,No
91,Male,21,Business,2.96,,No,No,3,1,4,4,5,4,4,No
92,Bigender,23,Social Sciences,3.62,No,Yes,Yes,4,2,3,1,1,3,1,Yes
93,Male,20,Engineering,3.19,No,Yes,Yes,4,1,4,5,5,2,3,Yes
94,Male,21,History,2.65,Yes,No,Yes,4,4,5,2,2,1,4,No
95,Agender,19,Social Sciences,2.48,No,Yes,Yes,4,1,1,1,5,2,5,No
96,Female,22,Information Systems,2.19,,Yes,Yes,4,3,3,3,2,1,1,No
97,Male,21,Arts,2.8,No,Yes,No,4,3,1,1,4,5,1,Yes
98,Agender,20,Arts,2.28,No,Yes,Yes,2,5,1,3,1,2,1,No
99,Male,23,Communications,2.82,No,Yes,,4,3,1,4,4,1,4,No
100,Male,17,Life Sciences,3.52,Yes,No,No,4,3,5,2,2,5,5,No
101,Male,17,Language,2.09,No,Yes,No,2,4,1,1,1,5,5,Yes
102,Female,19,Social Sciences,3.32,No,Yes,Yes,3,5,5,4,5,5,1,Yes
103,Female,19,History,2.86,Yes,Yes,No,4,4,4,1,5,5,5,No
104,Male,22,Social Sciences,3.73,No,Yes,Yes,4,2,5,2,3,5,2,No
105,Male,17,Social Sciences,2.9,No,Yes,Yes,4,2,2,5,1,1,3,Yes
106,Male,21,Life Sciences,3.07,No,Yes,No,2,4,2,1,5,2,5,No
107,Male,20,Communications,3.29,No,Yes,Yes,4,3,1,1,3,2,1,Yes
108,Female,20,Communications,2.57,Yes,Yes,Yes,4,4,1,4,4,5,4,Yes
109,Male,20,Business,2.01,No,Yes,Yes,2,3,4,3,1,2,1,No
110,Male,18,Communications,3.11,No,Yes,No,5,2,5,1,1,1,4,No
111,Male,21,Arts,3.9,Yes,No,Yes,1,2,1,1,5,2,5,No
112,Male,18,Information Systems,3,No,Yes,Yes,4,3,2,2,4,5,2,No
113,Female,23,Language,2.59,,Yes,Yes,3,2,2,3,4,1,2,Yes
114,Male,22,Business,2.52,,No,Yes,4,3,5,1,3,4,2,No
115,Female,21,Social Sciences,1.88,No,Yes,Yes,5,1,2,4,1,4,4,No
116,Male,21,Life Sciences,2.5,No,Yes,Yes,4,1,2,3,3,2,1,No
117,Male,17,Information Systems,3.92,Yes,No,,4,4,1,4,5,5,1,No
118,Female,23,Business,3.63,Yes,No,No,4,2,4,3,3,3,2,Yes
119,Non-binary,21,Business,3.07,No,No,Yes,4,5,4,2,1,3,2,No
120,Male,18,Business,2.32,Yes,No,No,2,4,5,4,5,1,4,No
121,Female,18,History,2.35,Yes,Yes,Yes,5,1,3,1,1,4,3,No
122,Male,17,Language,3.29,Yes,Yes,No,4,4,3,5,1,5,2,Yes
123,Male,17,Social Sciences,2.88,No,Yes,Yes,5,4,4,3,4,2,2,Yes
124,Male,17,Arts,3.41,No,No,Yes,4,2,1,1,3,2,2,Yes
125,Female,22,Social Sciences,3.63,No,No,Yes,5,2,3,2,5,4,5,Yes
126,Male,19,Communications,3.33,No,Yes,Yes,1,3,1,5,1,3,2,No
127,Male,17,Language,2.28,No,Yes,Yes,4,2,3,5,2,3,4,Yes
128,Female,20,Language,3.38,No,Yes,No,2,5,5,4,3,4,2,Yes
129,Female,19,Life Sciences,3.06,,Yes,No,4,4,1,5,1,3,1,No
130,Female,20,Social Sciences,3.92,No,No,Yes,4,5,1,3,3,1,5,No
131,Female,18,Social Sciences,3.72,No,Yes,Yes,3,2,5,4,4,1,1,Yes
132,Female,23,Business,2,Yes,No,No,2,2,1,3,4,5,1,No
133,Female,21,Business,2.87,No,Yes,Yes,2,4,1,1,4,1,1,Yes
134,Female,22,Social Sciences,3.93,No,Yes,No,3,5,3,2,4,5,3,No
135,Male,20,Communications,2.07,No,Yes,No,4,4,2,5,2,5,2,No
136,Male,17,Social Sciences,2.2,No,Yes,Yes,4,3,4,2,2,3,3,No
137,Female,20,Information Systems,3.4,No,Yes,Yes,2,4,4,5,5,5,3,No
138,Female,20,Business,2.74,No,No,Yes,4,1,3,1,4,2,3,No
139,Male,23,Social Sciences,3.72,No,Yes,Yes,4,1,4,3,1,1,3,No
140,Male,18,Communications,1.95,No,Yes,Yes,3,5,2,4,1,4,4,Yes
141,Female,18,History,2.31,No,No,No,4,5,4,4,5,2,1,No
142,Female,20,Engineering,3.18,No,Yes,Yes,5,1,5,3,4,1,5,No
143,Genderqueer,18,Life Sciences,2.77,No,Yes,No,4,3,2,1,4,3,5,No
144,Male,19,Social Sciences,3.29,No,Yes,Yes,4,2,5,3,5,2,2,Yes
145,Male,21,Social Sciences,2.33,No,Yes,Yes,2,3,3,1,2,2,1,No
146,Non-binary,17,History,1.94,No,No,Yes,5,3,3,2,4,4,4,Yes
147,Male,19,Business,2.37,No,Yes,Yes,3,4,4,5,1,5,3,No
148,Female,21,Communications,3.39,No,Yes,Yes,5,3,2,4,3,4,1,No
149,Polygender,19,Information Systems,2.1,No,Yes,Yes,4,4,5,2,5,4,4,No
150,Female,21,History,3.75,No,Yes,Yes,3,5,4,5,3,4,3,Yes
151,Female,20,Life Sciences,2.44,No,Yes,Yes,5,3,1,3,3,5,5,No
152,Male,23,Social Sciences,2.57,Yes,Yes,Yes,2,3,2,1,1,5,2,No
153,Male,20,Communications,2.73,Yes,Yes,No,4,5,3,1,3,2,1,No
154,Female,21,Life Sciences,3.3,No,Yes,Yes,2,5,1,2,2,1,4,No
155,Male,23,Social Sciences,3.89,Yes,No,No,5,3,2,4,1,1,3,No
156,Male,22,Arts,3.24,No,Yes,Yes,5,3,5,3,4,5,3,No
157,Male,20,Social Sciences,3.78,Yes,No,Yes,2,2,3,3,5,4,5,No
158,Female,21,Information Systems,2.4,Yes,Yes,Yes,2,5,1,1,1,3,1,No
159,Bigender,23,Social Sciences,3.54,No,Yes,No,1,4,3,5,4,1,5,Yes
160,Female,22,Communications,3.53,Yes,Yes,No,2,5,4,2,3,5,4,No
161,Female,17,Business,3.85,Yes,No,Yes,1,3,4,3,1,4,4,No
162,Agender,20,Life Sciences,3.88,No,No,Yes,4,3,2,2,3,5,2,No
163,Male,19,Social Sciences,3.07,No,Yes,Yes,4,5,3,2,1,2,5,Yes
164,Male,20,Communications,3.49,No,Yes,Yes,5,3,4,3,3,5,4,No
165,Female,18,Social Sciences,2.85,No,Yes,Yes,4,5,3,2,5,5,1,Yes
166,Female,17,Language,3.11,No,No,Yes,3,1,5,2,1,3,3,No
167,Female,18,Information Systems,2.3,No,Yes,Yes,2,4,1,3,1,1,2,Yes
168,Female,22,Social Sciences,3.81,No,No,Yes,5,1,2,4,2,2,3,No
169,Female,18,Engineering,2.29,No,Yes,Yes,4,4,4,4,1,1,4,No
170,Female,20,Communications,2.39,,No,Yes,4,2,1,2,5,4,3,No
171,Female,22,Arts,3.61,No,Yes,No,2,2,5,4,4,5,1,No
172,Female,22,Business,3.35,No,No,Yes,3,4,5,2,4,3,4,No
173,Male,23,Information Systems,3.32,No,No,Yes,2,4,4,5,2,1,2,No
174,Female,17,Business,2.69,No,Yes,No,4,4,1,1,1,3,4,Yes
175,Female,17,Life Sciences,1.95,No,Yes,Yes,4,4,5,3,5,2,4,Yes
176,Bigender,17,Social Sciences,2.3,No,No,Yes,5,2,5,4,2,1,4,No
177,Male,17,Information Systems,3.23,No,Yes,Yes,3,5,2,2,4,2,4,No
178,Female,17,Business,2.66,Yes,Yes,Yes,4,5,1,5,1,3,1,No
179,Male,20,History,2.1,Yes,Yes,Yes,1,4,3,2,5,2,2,No
180,Male,19,Business,2.5,No,No,No,5,5,5,2,3,3,1,No
181,Female,19,Information Systems,3.64,Yes,No,Yes,2,5,2,1,4,1,3,No
182,Male,23,Communications,2.96,No,Yes,Yes,5,2,5,3,4,2,5,No
183,Male,23,Social Sciences,2.75,Yes,Yes,Yes,4,3,4,2,5,3,2,Yes
184,Female,20,Social Sciences,3.13,No,Yes,Yes,1,5,4,2,5,1,2,No
185,Female,19,Business,1.85,No,Yes,No,5,4,3,5,1,3,4,No
186,Female,19,Arts,3.89,No,Yes,Yes,3,2,5,3,2,5,3,No
187,Male,22,History,2.27,Yes,Yes,Yes,4,1,5,4,1,5,2,Yes
188,Male,20,Life Sciences,2.75,No,Yes,Yes,2,4,5,3,3,4,3,No
189,Male,17,Communications,2.83,No,No,No,1,5,2,4,1,3,2,No
190,Male,20,Information Systems,3.28,Yes,Yes,Yes,1,2,1,4,1,3,4,No
191,Male,19,Social Sciences,3.66,No,Yes,Yes,4,3,5,3,2,3,2,Yes
192,Male,20,History,3.27,Yes,,No,,,,,,,,
193,Male,20,Engineering,3.32,Yes,Yes,Yes,3,3,3,1,4,4,1,Yes
194,Female,18,Life Sciences,2.98,No,Yes,Yes,4,2,3,3,5,5,1,No
195,Female,22,Business,2.39,No,Yes,Yes,4,2,3,3,1,2,3,Yes
196,Female,22,Information Systems,2.44,,Yes,Yes,1,3,3,4,3,2,3,Yes
197,Female,22,Business,2.07,No,No,Yes,2,1,1,5,1,4,1,Yes
198,Male,23,Social Sciences,3.89,No,Yes,No,2,1,1,2,3,1,4,No
199,Male,20,Business,3.84,Yes,No,No,2,5,3,1,1,3,4,Yes
200,Female,17,Social Sciences,3.4,,No,Yes,5,4,5,2,2,5,5,No
201,Female,17,Arts,2.33,No,Yes,No,1,2,1,3,4,4,5,No
202,Agender,23,Life Sciences,2.83,No,Yes,No,4,5,4,2,4,5,1,No
203,Polygender,20,Engineering,3.57,No,No,No,4,3,5,3,3,5,4,No
204,Male,17,Life Sciences,3.6,Yes,Yes,Yes,4,3,1,3,5,4,1,No
205,Female,17,History,2.17,No,Yes,Yes,4,4,2,2,5,2,4,No
206,Male,17,Life Sciences,3.08,No,Yes,Yes,2,4,5,3,5,5,5,Yes
207,Male,17,Engineering,3.79,No,No,Yes,3,3,5,1,2,1,1,Yes
208,Male,22,Life Sciences,2.3,Yes,No,Yes,4,1,2,5,4,2,5,No
209,Female,17,Life Sciences,3.48,Yes,Yes,,5,1,4,2,1,1,2,No
210,Male,21,Life Sciences,2.66,No,Yes,Yes,4,4,2,3,1,4,5,No
211,Female,20,Social Sciences,3.85,No,Yes,Yes,3,5,3,3,3,2,3,No
212,Male,17,Social Sciences,3.77,No,No,Yes,2,4,3,3,3,2,3,No
213,Female,20,Business,2.58,No,Yes,Yes,5,2,4,3,1,4,1,No
214,Female,19,Communications,1.87,No,Yes,Yes,1,4,1,3,1,2,1,No
215,Male,19,History,2.12,No,Yes,No,5,5,5,2,2,2,2,No
216,Male,20,Life Sciences,3.66,No,No,Yes,4,1,3,5,1,4,4,Yes
217,Male,19,Business,1.88,No,No,Yes,4,5,2,1,1,5,3,Yes
218,Female,20,Business,1.9,No,Yes,Yes,4,3,3,2,5,5,3,No
219,Female,18,Life Sciences,3.91,No,Yes,No,3,5,1,5,3,1,5,No
220,Male,22,Social Sciences,3,Yes,Yes,Yes,3,1,4,1,2,1,5,No
221,Male,23,Social Sciences,2.89,No,Yes,Yes,4,1,1,2,4,5,4,No
222,Female,21,History,3.73,No,Yes,Yes,2,4,1,2,4,5,1,Yes
223,Female,17,Arts,1.96,No,No,Yes,5,5,3,5,4,3,3,No
224,Female,22,Social Sciences,3.07,Yes,Yes,Yes,5,1,5,5,1,1,3,No
225,Female,19,Business,2.75,Yes,Yes,Yes,4,4,2,4,1,2,5,No
226,Female,21,Business,3.65,No,Yes,,2,4,4,5,4,1,4,No
227,Female,22,History,3.46,Yes,No,No,3,1,3,3,1,3,1,Yes
228,Female,20,History,1.84,No,Yes,Yes,4,2,3,2,3,4,2,No
229,Male,21,Life Sciences,2.55,,Yes,Yes,4,1,1,5,4,2,4,Yes
230,Male,18,Communications,3.09,No,,Yes,,,,,,,,
231,Female,18,Social Sciences,3.81,No,Yes,Yes,1,3,4,3,2,5,3,Yes
232,Male,22,Social Sciences,3.62,No,No,Yes,5,5,4,3,3,2,1,Yes
233,Female,22,Social Sciences,2.18,No,Yes,Yes,4,5,3,5,1,4,5,Yes
234,Male,18,Social Sciences,2.62,No,No,Yes,5,1,5,5,1,1,4,No
235,Female,20,Information Systems,1.85,Yes,No,Yes,4,2,3,1,2,4,4,No
236,Male,17,Arts,2.37,No,Yes,Yes,3,3,1,2,2,3,1,No
237,Male,20,Social Sciences,3.39,Yes,Yes,Yes,3,2,3,2,1,5,1,No
238,Genderfluid,21,Life Sciences,3.09,No,Yes,Yes,3,2,1,4,4,3,3,Yes
239,Female,17,Communications,1.98,No,Yes,Yes,4,2,2,2,5,2,5,No
240,Female,22,History,3.57,Yes,,Yes,,,,,,,,
241,Non-binary,22,Life Sciences,2.51,No,Yes,Yes,5,1,3,5,4,2,1,No
242,Female,20,Information Systems,3.72,No,No,Yes,5,3,5,2,5,4,5,No
243,Male,18,Communications,3.03,No,Yes,Yes,4,2,3,5,5,3,5,No
244,Female,20,Life Sciences,2.93,No,No,Yes,5,5,4,3,4,3,4,No
245,Male,17,Social Sciences,2,No,Yes,Yes,3,1,2,5,4,5,5,No
246,Female,22,Life Sciences,3.13,Yes,Yes,No,5,3,1,4,4,4,3,Yes
247,Male,17,Social Sciences,3.73,No,Yes,Yes,1,4,4,2,2,1,1,No
248,Agender,22,Language,3.97,No,Yes,Yes,2,4,5,2,3,2,3,Yes
249,Polygender,23,Communications,3.49,No,Yes,No,4,2,2,3,5,3,1,No
250,Female,23,Communications,3,No,No,Yes,3,4,1,1,5,4,4,No
251,Male,18,Social Sciences,2.16,No,Yes,Yes,3,3,3,2,5,3,4,No
252,Female,17,Social Sciences,3,Yes,Yes,Yes,5,4,1,1,4,1,1,No
253,Female,19,Business,2.86,No,Yes,Yes,3,2,2,5,1,1,3,No
254,Non-binary,18,Social Sciences,1.93,No,Yes,No,5,3,3,4,5,1,3,No
255,Female,21,Engineering,2.27,Yes,Yes,Yes,5,4,4,4,2,4,1,No
256,Agender,18,Life Sciences,2.49,No,Yes,Yes,5,2,3,3,1,1,2,No
257,Female,22,Language,2.09,No,Yes,Yes,3,4,5,3,2,1,3,No
258,Male,20,Life Sciences,2.64,No,Yes,No,4,5,4,1,3,4,5,No
259,Male,22,Life Sciences,2.79,Yes,No,Yes,3,5,2,1,3,2,3,Yes
260,Male,19,Communications,2.99,No,Yes,Yes,4,2,1,3,2,2,1,No
261,Female,19,Social Sciences,3.08,No,Yes,Yes,2,4,3,3,3,3,1,Yes
262,Female,22,Life Sciences,2.48,No,Yes,Yes,5,2,5,5,2,5,4,No
263,Female,21,Arts,3.46,No,No,No,3,5,3,1,3,1,3,No
264,Male,20,Engineering,1.91,No,Yes,Yes,2,4,3,3,2,2,2,Yes
265,Male,22,Information Systems,3.42,No,No,Yes,5,5,1,2,4,2,1,Yes
266,Female,21,History,3.88,,No,Yes,5,3,3,3,5,3,2,No
267,Male,18,Arts,2.69,Yes,No,Yes,5,5,4,4,1,2,5,No
268,Male,19,Social Sciences,2.88,No,Yes,Yes,3,3,5,3,2,3,5,No
269,Male,19,Business,3.49,Yes,Yes,No,2,2,4,3,1,1,4,No
270,Female,21,Business,3.51,No,Yes,No,4,4,5,1,2,2,2,Yes
271,Female,17,Social Sciences,3.91,No,Yes,Yes,4,1,3,1,4,3,1,No
272,Female,19,Arts,2.69,No,Yes,Yes,5,2,5,5,1,2,1,No
273,Male,17,Business,1.83,No,Yes,Yes,4,4,3,3,3,3,2,Yes
274,Female,20,Business,3.25,No,No,Yes,3,3,4,2,3,2,4,No
275,Male,19,Arts,2.5,Yes,No,Yes,2,5,5,2,1,5,3,Yes
276,Male,18,Social Sciences,2.73,Yes,Yes,Yes,5,4,4,2,2,4,3,Yes
277,Male,20,Information Systems,3.78,No,Yes,Yes,4,4,1,4,4,3,3,No
278,Male,21,Arts,1.95,Yes,Yes,Yes,4,5,4,3,2,2,1,No
279,Male,20,Arts,3.51,No,Yes,Yes,1,4,1,3,1,2,5,No
280,Female,22,Communications,2.64,No,No,No,5,5,5,5,1,4,4,No
281,Male,21,Business,1.85,No,No,Yes,4,1,4,3,1,1,1,No
282,Male,20,Social Sciences,2.41,Yes,No,Yes,3,5,2,3,1,5,3,No
283,Male,22,Arts,3.6,No,No,Yes,4,2,5,1,4,1,3,No
284,Female,23,Communications,3.67,No,Yes,No,4,1,4,5,5,3,2,No
285,Male,18,Social Sciences,2.9,No,No,Yes,4,3,2,5,2,5,2,Yes
286,Female,20,Arts,3.05,No,No,Yes,5,3,5,4,5,2,5,No
287,Female,17,Social Sciences,1.84,No,Yes,Yes,4,3,2,5,2,4,3,No
288,Non-binary,20,Life Sciences,2.38,No,No,No,5,3,5,1,1,2,3,Yes
289,Non-binary,20,Business,3.55,No,No,Yes,4,5,3,4,3,2,5,Yes
290,Male,19,Life Sciences,2.36,,Yes,Yes,5,1,5,4,5,4,4,Yes
291,Bigender,19,Communications,2.1,No,No,Yes,4,5,1,4,4,2,1,No
292,Female,20,Information Systems,2.27,No,Yes,No,5,4,5,4,2,2,2,No
293,Female,17,Communications,3.07,No,Yes,No,5,3,1,5,4,1,2,No
294,Male,18,History,3.75,No,Yes,No,4,5,5,4,5,2,5,No
295,Male,21,Life Sciences,3.07,No,Yes,Yes,4,3,3,5,5,3,4,No
296,Female,21,Business,2.6,No,Yes,Yes,5,3,4,1,5,5,5,Yes
297,Female,20,Social Sciences,2.33,No,Yes,Yes,2,1,5,4,5,4,4,No
298,Polygender,19,Arts,2.78,No,Yes,Yes,2,2,2,2,4,5,1,Yes
299,Male,17,History,2.59,Yes,Yes,Yes,4,1,1,4,4,4,3,No
300,Male,21,Business,1.94,No,Yes,Yes,4,1,4,2,3,3,5,No
301,Male,17,Life Sciences,1.87,Yes,Yes,No,4,1,4,3,1,3,4,No
302,Female,21,History,2.53,No,No,Yes,4,5,4,4,4,2,2,No
303,Male,23,Arts,3.71,No,Yes,Yes,5,2,5,4,4,3,3,Yes
304,Male,20,Information Systems,1.91,Yes,Yes,Yes,4,4,5,1,2,5,3,No
305,Bigender,21,Social Sciences,3.38,No,Yes,Yes,4,1,3,4,1,4,2,No
306,Female,17,Arts,2.42,Yes,Yes,No,3,2,1,1,2,2,2,No
307,Female,23,Engineering,2.35,No,Yes,Yes,5,5,3,4,5,4,1,No
308,Non-binary,22,Information Systems,3.25,Yes,Yes,Yes,4,5,4,1,4,4,3,Yes
309,Male,21,Communications,2.74,Yes,Yes,Yes,4,4,2,5,2,5,5,No
310,Female,23,Social Sciences,3.23,,Yes,Yes,5,4,1,1,1,2,3,No
311,Male,21,Life Sciences,2.86,No,Yes,Yes,5,1,4,5,1,3,4,No
312,Male,23,Business,2.85,Yes,Yes,Yes,5,3,4,2,4,4,1,No
313,Female,18,Social Sciences,2.95,No,Yes,Yes,2,5,4,5,5,4,1,Yes
314,Female,17,Social Sciences,3.97,Yes,No,Yes,2,4,1,4,1,3,1,No
315,Female,22,Engineering,3.17,Yes,Yes,Yes,1,3,4,4,2,4,1,No
316,Male,18,Life Sciences,1.85,No,Yes,No,5,2,5,3,3,4,3,Yes
317,Female,23,Life Sciences,2.31,No,Yes,Yes,4,1,5,5,1,3,2,No
318,Non-binary,19,Communications,1.81,Yes,Yes,Yes,4,2,2,2,3,2,4,No
319,Male,17,Social Sciences,3.59,No,Yes,Yes,2,2,1,1,4,1,2,Yes
320,Genderqueer,22,Communications,3.33,Yes,No,No,3,2,4,4,4,4,2,No
321,Male,18,Arts,3.65,No,Yes,Yes,4,4,3,4,1,4,3,Yes
322,Polygender,23,Business,3.05,No,No,Yes,4,2,3,4,3,5,4,No
323,Male,20,Information Systems,2.49,No,Yes,Yes,2,4,2,1,4,1,3,Yes
324,Male,21,Social Sciences,2.71,Yes,Yes,Yes,5,3,5,4,1,1,4,No
325,Male,18,Social Sciences,2.73,No,Yes,No,5,4,5,1,5,3,5,Yes
326,Female,22,Social Sciences,2.06,No,No,Yes,5,2,1,4,1,3,1,Yes
327,Male,18,Information Systems,3.44,No,Yes,Yes,5,3,4,1,2,1,5,No
